channel,dateCreated,geography,guid,headline,id,language,mediaType,priority,slug,source,version
STK567,25/03/2022 12:50:54,RU|UA,"tag:reuters.com,2022:newsml_L2N2VS0S4","UPDATE 1-Mariupol cites witnesses suggesting 300 may have been killed in theatre bombing","tag:reuters.com,2022:newsml_L2N2VS0S4:1743504689",en,T,3,"UKRAINE CRISIS/MARIUPOL-THEATRE (UPDATE 1, PIX)","Thomson Reuters",1743504689
STK567,25/03/2022 12:50:45,RU|DK|UA,"tag:reuters.com,2022:newsml_MT1ALTC7N2AP02L2","DANISH IMMIGRATION MINISTER SAYS DENMARK PREPARES TO TAKE MORE THAN 100,000 REFUGEES FROM UKRAINE","tag:reuters.com,2022:newsml_MT1ALTC7N2AP02L2:2072434712",en,T,1,"DANISH IMMIGRATION MINISTER SAYS DENMARK PREPARES TO TAKE MORE T","Thomson Reuters",2072434712
STK567,25/03/2022 12:48:33,US,"tag:reuters.com,2022:newsml_L3N2VS2LH","US STOCKS-Wall St eyes higher open on Big Tech boost","tag:reuters.com,2022:newsml_L3N2VS2LH:334973060",en,T,3,"USA-STOCKS/ (UPDATE 1)","Thomson Reuters",334973060
STK567,25/03/2022 12:47:35,CN,"tag:reuters.com,2022:newsml_L2N2VS0BC","UPDATE 4-Hong Kong leader rejects barrister nominee to sensitive judges panel, appoints another","tag:reuters.com,2022:newsml_L2N2VS0BC:1272554466",en,T,3,"HONGKONG-SECURITY/LEGAL (UPDATE 4, PIX)","Thomson Reuters",1272554466
STK567,25/03/2022 12:46:10,AU|PK,"tag:reuters.com,2022:newsml_L2N2VS0DE","UPDATE 3-Cricket-Lyon takes five to spin Australia to series-clinching win","tag:reuters.com,2022:newsml_L2N2VS0DE:606519444",en,T,3,"CRICKET-TEST-PAK-AUS/ (UPDATE 3)","Thomson Reuters",606519444
STK567,25/03/2022 12:44:32,RU|UA,"tag:reuters.com,2022:newsml_L5N2VR60S","Russia plans reserve fleet of railway wagons for 'state tasks'","tag:reuters.com,2022:newsml_L5N2VR60S:1134669353",en,T,3,"UKRAINE-CRISIS/RUSSIA-RAILWAYS","Thomson Reuters",1134669353
STK567,25/03/2022 12:42:06,RU|UA,"tag:reuters.com,2022:newsml_L2N2VS0IZ","WRAPUP 2-U.S., EU strike LNG deal as Europe seeks to cut Russian gas","tag:reuters.com,2022:newsml_L2N2VS0IZ:1017848864",en,T,3,"UKRAINE-CRISIS/EU-ENERGY (WRAPUP 2, PIX)","Thomson Reuters",1017848864
STK567,25/03/2022 12:39:49,IR|LB,"tag:reuters.com,2022:newsml_L2N2VS0VC","UPDATE 1-Iran ready to supply wheat to Lebanon - Lebanese president on Twitter citing Iranian FM","tag:reuters.com,2022:newsml_L2N2VS0VC:811256918",en,T,3,"LEBANON-COMMODITIES/IRAN-WHEAT (UPDATE 1)","Thomson Reuters",811256918
STK567,25/03/2022 12:38:48,ZA,"tag:reuters.com,2022:newsml_L5N2VS3MV","S.African court postpones trial of alleged parliament arsonist","tag:reuters.com,2022:newsml_L5N2VS3MV:17999085",en,T,3,"SAFRICA-PARLIAMENT/FIRE","Thomson Reuters",17999085
STK567,25/03/2022 12:34:59,RU|BL|FR|TH|BE|US|UA|IE,"tag:reuters.com,2022:newsml_L3N2VR4MS","ANALYSIS-Hard landing: Lessors lose hope of getting Russian planes back","tag:reuters.com,2022:newsml_L3N2VR4MS:1754224967",en,T,3,"UKRAINE-CRISIS/AIRCRAFT LESSORS (ANALYSIS, PIX)","Thomson Reuters",1754224967
STK567,25/03/2022 12:33:08,TJ|PE|CH|RU|SRB|AU|KR|IT|MY|SY|GR|SA|BO|VE|NP|BG|IL|HU|MM|KW|GB|VN|JP|IR|QA|SD|AR|ZW|NZ|CN|CY|GH|LK|TR|CU|SO|AL|SQ|FR|TH|DE|LB|KZ|BE|BT|EG|KG|US|LU|UA|IE|AZ|IN|ES|AE|BD|PL,"tag:reuters.com,2022:newsml_L3N2VS2R8","DIARY-Political and General News Events from March 25","tag:reuters.com,2022:newsml_L3N2VS2R8:1538521104",en,T,3,"DIARY-POLITICAL/ (DIARY)","Thomson Reuters",1538521104
STK567,25/03/2022 12:31:36,CN|FR|US,"tag:reuters.com,2022:newsml_L2N2VS0TX","UPDATE 1-U.S. FAA chief confident of finding 'root cause' of China 737-800 crash","tag:reuters.com,2022:newsml_L2N2VS0TX:603202319",en,T,3,"CHINA-CRASH/FAA (UPDATE 1)","Thomson Reuters",603202319
STK567,25/03/2022 12:29:25,RU|DE|UA,"tag:reuters.com,2022:newsml_L2N2VS0K0","EU's biggest economy Germany blocked Russian coal ban, sources say","tag:reuters.com,2022:newsml_L2N2VS0K0:810856670",en,T,3,"UKRAINE-CRISIS/EU-COAL (PIX)","Thomson Reuters",810856670
STK567,25/03/2022 12:29:13,AU,"tag:reuters.com,2022:newsml_L2N2VS0RQ","UPDATE 1-Australian rules-Franklin's 1,000th AFL goal prompts Sydney pitch invasion","tag:reuters.com,2022:newsml_L2N2VS0RQ:793897402",en,T,3,"AUSTRALIAN-RULES/FRANKLIN (UPDATE 1)","Thomson Reuters",793897402
STK567,25/03/2022 12:28:33,RU|US|UA,"tag:reuters.com,2022:newsml_R4N2UZ07C","Putin says West trying to cancel Russian culture including Tchaikovsky","tag:reuters.com,2022:newsml_R4N2UZ07C:1987030657",en,T,2,"UKRAINE-CRISIS/RUSSIA-CULTURE (URGENT)","Thomson Reuters",1987030657
STK567,25/03/2022 12:26:54,BH|IL|MA|AE,"tag:reuters.com,2022:newsml_L2N2VS0OQ","UPDATE 2-Israel to host 'historic' regional summit next week, foreign minister says","tag:reuters.com,2022:newsml_L2N2VS0OQ:1638059545",en,T,3,"MIDEAST-SUMMIT/ISRAEL (UPDATE 2)","Thomson Reuters",1638059545
